method,kernel,metric,0.1,1.0,5.0,10.0,16.0
diffusion,3km,csi,0.533333,0.332456,0.097954,0.010085,0.004413
diffusion,3km,far,0.415321,0.584695,0.640610,0.786008,0.000000
diffusion,3km,pod,0.858618,0.624981,0.118675,0.010473,0.004413
diffusion,3km,hss,0.563477,0.428599,0.171558,0.019559,0.008778
diffusion,3km,fss,0.695652,0.499013,0.178430,0.019969,0.008787
diffusion,15km,csi,0.649801,0.462855,0.156968,0.027883,0.013397
diffusion,15km,far,0.290299,0.429334,0.446222,0.542561,0.000000
diffusion,15km,pod,0.885043,0.710144,0.179697,0.028837,0.013397
diffusion,15km,hss,0.609232,0.523582,0.252002,0.051923,0.026240
diffusion,15km,fss,0.779420,0.597335,0.266838,0.028051,0.007648
diffusion,27km,csi,0.684001,0.547891,0.201416,0.045445,0.015777
diffusion,27km,far,0.262858,0.338965,0.360264,0.351840,0.000000
diffusion,27km,pod,0.904654,0.761961,0.227185,0.046595,0.015777
diffusion,27km,hss,0.580523,0.579603,0.302871,0.082058,0.030524
diffusion,27km,fss,0.808816,0.635647,0.320184,0.038305,0.006544
diffusion,45km,csi,0.719581,0.641570,0.267767,0.069085,0.018858
diffusion,45km,far,0.240990,0.255614,0.269944,0.215052,0.000000
diffusion,45km,pod,0.932669,0.822852,0.297192,0.070418,0.018858
diffusion,45km,hss,0.501909,0.634279,0.369303,0.118748,0.035643
diffusion,45km,fss,0.835005,0.669975,0.395018,0.052411,0.005337
flowcast,3km,csi,0.546266,0.338386,0.085347,0.007340,0.002646
flowcast,3km,far,0.318476,0.418559,0.510187,0.672566,0.250000
flowcast,3km,pod,0.733509,0.447360,0.093674,0.007452,0.002648
flowcast,3km,hss,0.601395,0.457255,0.152725,0.014376,0.005270
flowcast,3km,fss,0.706561,0.505663,0.157271,0.014573,0.005277
flowcast,15km,csi,0.659773,0.425137,0.128961,0.030687,0.007298
flowcast,15km,far,0.204288,0.322327,0.344881,0.442813,0.437500
flowcast,15km,pod,0.794321,0.532895,0.138353,0.031454,0.007339
flowcast,15km,hss,0.651870,0.506861,0.213993,0.057460,0.014292
flowcast,15km,fss,0.804634,0.628971,0.226229,0.014836,0.003794
flowcast,27km,csi,0.700913,0.493270,0.157714,0.053681,0.013901
flowcast,27km,far,0.177587,0.249675,0.276433,0.284439,0.239011
flowcast,27km,pod,0.825917,0.590133,0.167826,0.054851,0.013962
flowcast,27km,hss,0.646511,0.546968,0.247304,0.096793,0.026793
flowcast,27km,fss,0.835660,0.676846,0.267336,0.017714,0.003968
flowcast,45km,csi,0.737813,0.582325,0.197545,0.080605,0.022636
flowcast,45km,far,0.164532,0.169763,0.219715,0.232342,0.124094
flowcast,45km,pod,0.863242,0.661035,0.209181,0.082621,0.022709
flowcast,45km,hss,0.603013,0.599925,0.285972,0.137057,0.042407
flowcast,45km,fss,0.862795,0.721610,0.324209,0.023348,0.004254
meanflow_nfe1,3km,csi,0.569453,0.351805,0.107877,0.015938,0.000883
meanflow_nfe1,3km,far,0.313182,0.479271,0.636216,0.833656,0.000000
meanflow_nfe1,3km,pod,0.769182,0.520265,0.132962,0.017321,0.000883
meanflow_nfe1,3km,hss,0.624780,0.465727,0.187477,0.030554,0.001762
meanflow_nfe1,3km,fss,0.725671,0.520497,0.194745,0.031375,0.001764
meanflow_nfe1,15km,csi,0.634570,0.405269,0.134687,0.041368,0.005708
meanflow_nfe1,15km,far,0.165837,0.328778,0.424977,0.573129,0.000000
meanflow_nfe1,15km,pod,0.726183,0.505644,0.149576,0.043801,0.005708
meanflow_nfe1,15km,hss,0.637622,0.485349,0.220413,0.075884,0.011265
meanflow_nfe1,15km,fss,0.803720,0.615316,0.281467,0.041619,0.001740
meanflow_nfe1,27km,csi,0.659355,0.442888,0.157389,0.063323,0.008519
meanflow_nfe1,27km,far,0.129136,0.239065,0.331137,0.392700,0.000000
meanflow_nfe1,27km,pod,0.730807,0.514473,0.170689,0.066027,0.008519
meanflow_nfe1,27km,hss,0.621490,0.498601,0.244717,0.112201,0.016595
meanflow_nfe1,27km,fss,0.832463,0.655065,0.329984,0.051026,0.001408
meanflow_nfe1,45km,csi,0.687058,0.487803,0.189534,0.092137,0.012423
meanflow_nfe1,45km,far,0.113346,0.152941,0.245545,0.264782,0.000000
meanflow_nfe1,45km,pod,0.753213,0.534916,0.201994,0.095299,0.012423
meanflow_nfe1,45km,hss,0.578085,0.510237,0.274035,0.154698,0.023619
meanflow_nfe1,45km,fss,0.859926,0.696479,0.399583,0.065331,0.001113
meanflow_nfe2,3km,csi,0.574039,0.347138,0.121495,0.020372,0.014978
meanflow_nfe2,3km,far,0.336948,0.529715,0.668118,0.846980,0.105263
meanflow_nfe2,3km,pod,0.810463,0.570018,0.160831,0.022961,0.015004
meanflow_nfe2,3km,hss,0.624172,0.454007,0.208026,0.038804,0.029481
meanflow_nfe2,3km,fss,0.729383,0.515371,0.216665,0.039930,0.029514
meanflow_nfe2,15km,csi,0.680745,0.428436,0.165672,0.052908,0.017245
meanflow_nfe2,15km,far,0.180275,0.359391,0.454784,0.601451,0.273171
meanflow_nfe2,15km,pod,0.800605,0.563998,0.192238,0.057499,0.017358
meanflow_nfe2,15km,hss,0.679851,0.503800,0.264001,0.095774,0.033556
meanflow_nfe2,15km,fss,0.807912,0.601592,0.309380,0.055278,0.026360
meanflow_nfe2,27km,csi,0.717518,0.476964,0.182972,0.080162,0.017631
meanflow_nfe2,27km,far,0.138918,0.261522,0.398440,0.432018,0.340187
meanflow_nfe2,27km,pod,0.811449,0.573902,0.208204,0.085367,0.017793
meanflow_nfe2,27km,hss,0.679635,0.528287,0.276315,0.139511,0.033742
meanflow_nfe2,27km,fss,0.836076,0.634354,0.361163,0.061879,0.022793
meanflow_nfe2,45km,csi,0.745916,0.533679,0.213069,0.121144,0.019776
meanflow_nfe2,45km,far,0.119040,0.171661,0.346619,0.285524,0.392883
meanflow_nfe2,45km,pod,0.829526,0.600042,0.240222,0.127307,0.020032
meanflow_nfe2,45km,hss,0.643620,0.551263,0.296210,0.198576,0.036414
meanflow_nfe2,45km,fss,0.862571,0.665547,0.437724,0.074278,0.018404
